control1	control2	treat1	treat2
gene_524	38	433	180	436
gene_525	519	732	397	483
gene_526	679	15	963	465
gene_527	903	46	378	487
gene_528	27	419	78	738
gene_529	989	644	530	991
gene_530	304	221	950	841
gene_531	939	834	856	113
gene_532	688	695	550	862
gene_533	448	899	665	568
gene_534	817	415	501	684
gene_535	40	412	924	790
gene_536	739	251	93	403
gene_537	349	374	497	853
gene_538	829	233	782	190
gene_539	536	932	870	496
gene_540	275	477	902	121
gene_541	801	49	812	229
gene_542	93	774	155	906
gene_543	832	332	730	474
gene_544	278	553	760	541
gene_545	753	677	661	974
gene_546	964	278	908	972
gene_547	82	54	390	686
gene_548	855	426	957	780
gene_549	802	611	457	21
gene_550	386	976	196	729
gene_551	328	970	591	923
gene_552	206	89	156	441
gene_553	570	499	520	706
gene_554	888	396	413	817
gene_555	530	391	827	487
gene_556	587	319	564	843
gene_557	666	683	457	493
gene_558	530	285	193	19
gene_559	510	391	472	441
gene_560	17	990	233	478
gene_561	49	792	315	602
gene_562	929	313	867	444
gene_563	770	817	446	308
gene_564	202	222	434	673
gene_565	651	502	473	610
gene_566	654	168	834	974
gene_567	396	121	11	177
gene_568	812	898	310	973
gene_569	547	95	87	580
gene_570	885	865	823	738
gene_571	554	277	472	866
gene_572	906	28	533	648
gene_573	588	788	396	695
gene_574	424	359	455	996
gene_575	950	26	116	850
gene_576	709	746	32	766
gene_577	414	31	24	139
gene_578	19	434	78	96
gene_579	567	257	362	522
gene_580	491	499	762	193
gene_581	879	654	744	732
gene_582	813	85	99	495
gene_583	854	181	962	144
gene_584	369	105	144	841
gene_585	874	813	485	941
gene_586	152	628	565	279
gene_587	283	631	932	151
gene_588	667	391	820	707
gene_589	977	433	534	566
gene_590	583	349	385	91
gene_591	527	794	546	561
gene_592	62	887	797	616
gene_593	969	651	628	549
gene_594	121	593	105	394
gene_595	89	328	193	417
gene_596	881	77	842	905
gene_597	509	592	480	674
gene_598	338	179	777	955
gene_599	894	742	818	152
gene_600	33	295	298	560
gene_601	238	640	227	100
gene_602	687	126	621	624
gene_603	227	256	375	257
gene_604	319	821	886	480
gene_605	175	804	126	478
gene_606	802	47	159	831
gene_607	147	876	639	896
gene_608	823	129	187	577
gene_609	332	609	665	944
gene_610	375	470	513	293
gene_611	630	558	742	626
gene_612	98	731	337	621
gene_613	23	470	112	649
gene_614	993	989	403	236
gene_615	584	985	543	404
gene_616	782	394	741	172
gene_617	892	609	173	520
gene_618	755	346	587	585
gene_619	979	438	500	81
gene_620	45	230	936	729
gene_621	903	7	910	614
gene_622	866	25	154	671
gene_623	776	60	308	297
gene_624	377	765	699	361
gene_625	43	470	763	631
gene_626	365	851	510	960
gene_627	274	582	228	365
gene_628	851	188	167	199
gene_629	363	609	317	255
gene_630	305	893	46	486
gene_631	759	795	670	414
gene_632	845	505	747	329
gene_633	458	424	249	357
gene_634	730	655	467	684
gene_635	105	888	45	863
gene_636	221	892	99	469
gene_637	954	179	897	583
gene_638	752	258	616	499
gene_639	819	114	641	668
gene_640	418	797	462	688
gene_641	594	110	280	108
gene_642	799	829	945	113
gene_643	889	771	24	933
gene_644	386	944	178	422
gene_645	91	467	971	564
gene_646	626	940	800	956
gene_647	746	785	1000	197
gene_648	86	875	261	225
gene_649	301	395	583	622
gene_650	615	101	73	835
gene_651	753	278	802	808
gene_652	917	722	881	152
gene_653	476	357	890	84
gene_654	568	383	12	779
gene_655	737	33	242	955
gene_656	858	522	608	619
gene_657	909	122	363	438
gene_658	57	885	709	665
gene_659	503	76	43	869
gene_660	351	784	658	503
gene_661	846	854	231	529
gene_662	807	38	274	771
gene_663	118	276	733	370
gene_664	713	642	179	941
gene_665	236	785	386	34
gene_666	76	401	685	339
gene_667	936	935	416	136
gene_668	158	391	543	338
gene_669	647	425	456	484
gene_670	174	287	128	757
gene_671	21	612	32	796
gene_672	522	559	166	417
gene_673	87	41	799	31
gene_674	284	746	143	938
gene_675	421	207	75	916
gene_676	588	657	30	613
gene_677	807	523	418	919
gene_678	203	634	854	627
gene_679	460	618	331	127
gene_680	449	286	445	143
gene_681	734	225	414	682
gene_682	715	539	352	923
gene_683	831	996	928	152
gene_684	887	330	930	885
gene_685	953	324	281	451
gene_686	551	36	730	48
gene_687	523	526	218	824
gene_688	172	597	940	966
gene_689	480	742	65	808
gene_690	255	953	989	297
gene_691	41	490	211	199
gene_692	635	84	319	202
gene_693	540	261	123	350
gene_694	141	875	585	225
gene_695	284	852	659	165
gene_696	583	843	996	94
gene_697	166	947	195	633
gene_698	97	653	817	785
gene_699	429	489	620	60
gene_700	356	189	986	85
gene_701	845	713	442	5
gene_702	261	86	724	143
gene_703	24	462	77	929
gene_704	863	936	631	163
gene_705	335	845	215	989
gene_706	632	716	919	705
gene_707	547	125	812	325
gene_708	377	595	856	329
gene_709	187	990	817	777
gene_710	430	616	418	499
gene_711	631	274	978	498
gene_712	521	65	500	267
gene_713	660	73	499	930
gene_714	730	874	344	678
gene_715	487	363	68	711
gene_716	385	946	907	283
gene_717	8	559	222	581
gene_718	5	513	298	954
gene_719	995	948	659	37
gene_720	109	111	567	511
gene_721	419	819	971	861
gene_722	718	378	106	278
gene_723	743	557	544	363
gene_724	872	315	915	917
gene_725	608	83	873	81
gene_726	756	780	905	513
gene_727	847	194	779	421
gene_728	613	656	168	159
gene_729	793	436	122	450
gene_730	24	198	119	170
gene_731	417	995	433	855
gene_732	875	447	778	688
gene_733	648	32	904	122
gene_734	925	937	427	120
gene_735	173	871	810	289
gene_736	316	602	469	940
gene_737	804	300	679	932
gene_738	989	810	759	184
gene_739	323	952	684	913
gene_740	2	852	848	67
gene_741	992	128	312	878
gene_742	149	969	184	60
gene_743	50	558	94	952
gene_744	598	6	16	161
gene_745	322	137	903	581
gene_746	528	7	796	712
gene_747	796	817	79	281
gene_748	70	782	103	28
gene_749	695	931	175	711
gene_750	949	369	529	313
gene_751	278	974	736	855
gene_752	250	824	119	472
gene_753	160	788	104	992
gene_754	73	623	553	79
gene_755	558	967	291	26
gene_756	490	500	441	576
gene_757	495	894	119	608
gene_758	888	402	922	5
gene_759	38	448	733	744
gene_760	205	936	462	48
gene_761	514	684	673	479
gene_762	237	19	289	939
gene_763	576	166	664	61
gene_764	483	496	376	954
gene_765	570	427	671	771
gene_766	145	992	413	852
gene_767	147	889	712	219
gene_768	413	346	282	994
gene_769	683	706	739	694
gene_770	654	909	575	288
gene_771	916	677	25	818
gene_772	813	639	363	959
gene_773	676	150	441	901
gene_774	808	602	404	128
gene_775	129	273	545	61
gene_776	252	458	863	819
gene_777	332	223	766	860
gene_778	408	256	66	46
gene_779	636	654	118	225
gene_780	809	473	310	705
gene_781	260	162	309	100
gene_782	820	273	733	17
gene_783	16	713	142	906
gene_784	655	614	978	50
gene_785	812	133	855	874
gene_786	462	71	584	121
gene_787	204	966	900	405
gene_788	20	369	10	231
gene_789	284	678	785	776
gene_790	915	846	908	577
gene_791	934	242	112	196
gene_792	543	36	466	425
gene_793	220	596	675	441
gene_794	490	836	466	909
gene_795	801	363	875	463
gene_796	408	333	402	932
gene_797	105	645	567	390
gene_798	281	959	654	805
gene_799	362	597	286	769
gene_800	260	511	892	342
gene_801	471	156	140	938
gene_802	366	846	558	504
gene_803	122	215	254	325
gene_804	48	670	75	443
gene_805	264	618	763	487
gene_806	969	51	607	842
gene_807	489	949	334	949
gene_808	478	583	910	471
gene_809	749	861	590	372
gene_810	668	519	946	227
gene_811	50	267	902	6
gene_812	695	598	388	710
gene_813	364	796	719	697
gene_814	884	690	828	16
gene_815	776	481	914	188
gene_816	140	466	131	537
gene_817	296	619	45	160
gene_818	127	450	988	247
gene_819	590	603	390	922
gene_820	562	6	711	364
gene_821	689	995	526	993
gene_822	312	407	388	726
gene_823	606	119	719	150
gene_824	991	870	880	592
gene_825	743	541	122	849
gene_826	77	882	368	734
gene_827	452	39	790	463
gene_828	54	882	216	512
gene_829	340	723	621	557
gene_830	734	770	378	202
gene_831	5	864	604	889
gene_832	772	501	565	155
gene_833	464	926	695	585
gene_834	721	209	814	481
gene_835	667	28	454	198
gene_836	573	316	371	978
gene_837	704	660	823	320
gene_838	658	315	513	46
gene_839	290	945	742	754
gene_840	98	779	849	567
gene_841	962	340	441	11
gene_842	737	482	407	301
gene_843	613	417	851	863
gene_844	121	777	727	233
gene_845	551	486	615	59
gene_846	263	16	700	711
gene_847	898	643	748	509
gene_848	10	236	263	406
gene_849	237	747	277	425
gene_850	131	296	200	914
gene_851	327	906	943	902
gene_852	727	853	272	219
gene_853	992	463	499	575
gene_854	715	72	38	42
gene_855	505	578	802	541
gene_856	437	580	406	114
gene_857	949	994	461	758
gene_858	121	336	931	112
gene_859	76	667	390	205
gene_860	889	939	746	768
gene_861	425	575	784	423
gene_862	43	692	208	547
gene_863	648	91	57	881
gene_864	469	867	332	728
gene_865	618	502	684	753
gene_866	272	224	768	601
gene_867	158	413	653	102
gene_868	115	886	934	826
gene_869	508	496	5	739
gene_870	548	673	379	883
gene_871	142	283	644	85
gene_872	171	817	100	830
gene_873	762	247	16	276
gene_874	528	370	149	335
gene_875	861	236	746	887
gene_876	674	936	853	192
gene_877	14	416	326	13
gene_878	694	138	267	706
gene_879	892	914	244	39
gene_880	632	348	956	823
gene_881	108	853	498	904
gene_882	921	143	695	167
gene_883	676	360	915	208
gene_884	149	246	609	796
gene_885	746	47	263	893
gene_886	943	785	919	244
gene_887	421	200	712	434
gene_888	298	392	45	399
gene_889	260	324	634	666
gene_890	224	603	853	306
gene_891	566	542	120	792
gene_892	757	991	952	342
gene_893	670	255	42	258
gene_894	547	736	171	5
gene_895	812	978	24	381
gene_896	759	558	391	600
gene_897	21	393	710	340
gene_898	382	825	656	177
gene_899	52	113	487	998
gene_900	798	536	82	266
gene_901	924	444	968	551
gene_902	543	275	561	136
gene_903	853	158	717	682
gene_904	584	872	284	451
gene_905	669	562	802	367
gene_906	512	551	630	387
gene_907	763	593	909	405
gene_908	903	728	397	828
gene_909	821	639	309	916
gene_910	72	615	732	761
gene_911	5	53	695	368
gene_912	53	566	436	692
gene_913	867	588	808	509
gene_914	577	629	306	20
gene_915	315	622	915	647
gene_916	960	83	630	623
gene_917	592	79	777	334
gene_918	532	687	717	27
gene_919	385	830	664	975
gene_920	320	147	703	991
gene_921	809	784	193	78
gene_922	43	487	598	538
gene_923	364	989	767	978
gene_924	857	500	237	111
gene_925	698	563	692	363
gene_926	685	379	93	500
gene_927	349	519	737	913
gene_928	555	75	945	572
gene_929	138	539	664	24
gene_930	785	961	668	855
gene_931	887	528	421	831
gene_932	205	438	139	878
gene_933	771	33	470	810
gene_934	597	39	95	1
gene_935	958	48	754	103
gene_936	160	162	367	835
gene_937	526	470	569	222
gene_938	873	806	384	31
gene_939	870	281	204	577
gene_940	25	755	536	757
gene_941	976	522	386	874
gene_942	491	290	862	61
gene_943	390	18	94	223
gene_944	418	669	64	415
gene_945	94	68	168	412
gene_946	163	837	936	580
gene_947	406	136	443	942
gene_948	342	656	675	988
gene_949	416	838	37	131
gene_950	305	258	469	276
gene_951	561	137	47	829
gene_952	157	764	620	991
gene_953	957	213	865	674
gene_954	45	269	197	78
gene_955	373	532	283	135
gene_956	963	475	865	339
gene_957	646	374	33	253
gene_958	62	776	783	252
gene_959	411	559	456	783
gene_960	426	156	81	175
gene_961	509	989	907	599
gene_962	450	245	190	692
gene_963	624	131	746	923
gene_964	141	213	432	690
gene_965	908	381	671	274
gene_966	570	360	188	12
gene_967	549	303	882	44
gene_968	118	45	50	169
gene_969	762	935	221	853
gene_970	479	569	263	47
gene_971	782	222	767	272
gene_972	47	878	387	889
gene_973	820	468	279	548
gene_974	270	543	79	805
gene_975	284	785	501	957
gene_976	644	648	452	690
gene_977	948	146	987	402
gene_978	8	322	143	971
gene_979	352	951	834	939
gene_980	420	189	30	519
gene_981	458	751	779	137
gene_982	712	460	229	627
gene_983	920	142	135	823
gene_984	627	206	191	137
gene_985	902	676	217	598
gene_986	758	139	934	983
gene_987	139	416	989	231
gene_988	154	452	311	418
gene_989	192	623	138	101
gene_990	434	252	661	279
gene_991	88	465	585	531
gene_992	225	166	345	315
gene_993	573	858	814	601
gene_994	401	157	284	987
gene_995	566	89	846	610
gene_996	830	894	138	147
gene_997	642	301	862	705
gene_998	392	752	68	680
gene_999	710	402	436	323
gene_1000	110	449	680	424
